RepRapFirmware height map file v2 generated at 2022-02-13 19:23, min error -3.669, max error 4.587, mean 3.235, deviation 2.722
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,15.00,215.00,15.00,195.00,-1.00,20.00,20.00,11,10
 -2.904,  4.470,  4.480,  4.470,  4.491,  4.460, -2.694,  4.470,  4.460,  4.540, -2.784
  4.328,  4.491,  4.471, -2.619, -2.604, -2.589,  4.480, -2.619, -2.634,  4.460,  4.460
  4.481,  4.578,  4.501,  4.470,  4.470,  4.587,  4.481,  4.460,  4.450,  4.460,  4.578
  4.470, -2.619,  4.501,  4.328,  4.481,  4.481,  4.491,  4.480,  4.460,  4.460,  4.470
  4.460, -2.513,  4.491,  4.501,  4.460,  4.340,  4.480,  4.460,  4.530,  4.328,  4.340
  4.491,  4.501,  4.480,  4.480,  4.460, -2.514,  4.491,  4.470, -2.829, -3.009,  4.481
  4.578,  4.587,  4.340,  4.340,  4.480,  4.470,  4.491,  4.340,  4.491,  4.481,  4.578
  4.470, -2.484, -2.513,  4.481,  4.460,  4.470,  4.340, -2.513,  4.587,  4.578,  4.511
  4.471,  4.491, -2.604,  4.481,  4.340, -2.904,  4.569,  4.481,  4.521, -3.669,  4.470
  4.480,  4.470,  4.501,  4.587,  4.578,  4.471,  4.491,  4.491,  4.587,  4.501,  4.460
